date,open,high,low,volume,close
2021-02-10,15119.0498046875,15168.25,14977.2001953125,624800.0,15106.5
2021-02-11,15073.25,15188.5,15065.400390625,500100.0,15173.2998046875
2021-02-12,15186.2001953125,15243.5,15081.0,571800.0,15163.2998046875
2021-02-15,15270.2998046875,15340.150390625,15243.400390625,456000.0,15314.7001953125
2021-02-16,15371.4501953125,15431.75,15242.2001953125,648500.0,15313.4501953125
2021-02-17,15279.900390625,15314.2998046875,15170.75,504800.0,15208.900390625
2021-02-18,15238.7001953125,15250.75,15078.0498046875,770600.0,15118.9501953125
2021-02-19,15074.7998046875,15144.0498046875,14898.2001953125,712200.0,14981.75
2021-02-22,14999.0498046875,15010.099609375,14635.0498046875,609900.0,14675.7001953125
2021-02-23,14782.25,14854.5,14651.849609375,744100.0,14707.7998046875
2021-02-24,14729.150390625,15008.7998046875,14504.5,403800.0,14982.0
2021-02-25,15079.849609375,15176.5,15065.349609375,803900.0,15097.349609375
2021-02-26,14888.599609375,14919.4501953125,14467.75,1103600.0,14529.150390625
2021-03-01,14702.5,14806.7998046875,14638.5498046875,507300.0,14761.5498046875
2021-03-02,14865.2998046875,14959.099609375,14760.7998046875,621700.0,14919.099609375
2021-03-03,15064.400390625,15273.150390625,14995.7998046875,544200.0,15245.599609375
2021-03-04,15026.75,15202.349609375,14980.2001953125,534900.0,15080.75
2021-03-05,14977.9501953125,15092.349609375,14862.099609375,640700.0,14938.099609375
2021-03-08,15002.4501953125,15111.150390625,14919.900390625,0.0,14956.2001953125
2021-03-09,15049.900390625,15126.849609375,14925.4501953125,675300.0,15098.400390625
2021-03-10,15202.150390625,15218.4501953125,15100.849609375,404600.0,15174.7998046875
2021-03-12,15321.150390625,15336.2998046875,14953.599609375,493200.0,15030.9501953125
2021-03-15,15048.400390625,15048.400390625,14745.849609375,467500.0,14929.5
2021-03-16,14996.099609375,15051.599609375,14890.650390625,100.0,14910.4501953125
2021-03-17,14946.5498046875,14956.5498046875,14696.0498046875,100.0,14721.2998046875
2021-03-18,14855.5,14875.2001953125,14478.599609375,542200.0,14557.849609375
2021-03-19,14471.150390625,14788.25,14350.099609375,919200.0,14744.0
2021-03-22,14736.2998046875,14763.900390625,14597.849609375,459000.0,14736.400390625
2021-03-23,14768.5498046875,14878.599609375,14707.0,474200.0,14814.75
2021-03-24,14712.4501953125,14752.349609375,14535.0,456400.0,14549.400390625
2021-03-25,14570.900390625,14575.599609375,14264.400390625,606800.0,14324.900390625
2021-03-26,14506.2998046875,14572.900390625,14414.25,481000.0,14507.2998046875
2021-03-30,14628.5,14876.2998046875,14617.599609375,594500.0,14845.099609375
2021-03-31,14811.849609375,14813.75,14670.25,463900.0,14690.7001953125
2021-04-01,14798.400390625,14883.2001953125,14692.4501953125,445000.0,14867.349609375
2021-04-05,14837.7001953125,14849.849609375,14459.5,509700.0,14637.7998046875
2021-04-06,14737.0,14779.099609375,14573.900390625,475300.0,14683.5
2021-04-07,14716.4501953125,14879.7998046875,14649.849609375,0.0,14819.0498046875
2021-04-08,14875.650390625,14984.150390625,14821.099609375,514800.0,14873.7998046875
2021-04-09,14882.650390625,14918.4501953125,14785.650390625,504100.0,14834.849609375
2021-04-12,14644.650390625,14652.5,14248.7001953125,650200.0,14310.7998046875
2021-04-13,14364.900390625,14528.900390625,14274.900390625,605100.0,14504.7998046875
2021-04-15,14522.400390625,14597.5498046875,14353.2001953125,568000.0,14581.4501953125
2021-04-16,14599.599609375,14697.7001953125,14559.0,577200.0,14617.849609375
2021-04-19,14306.599609375,14382.2998046875,14191.400390625,512300.0,14359.4501953125
2021-04-20,14526.7001953125,14526.9501953125,14207.2998046875,467400.0,14296.400390625
2021-04-22,14219.150390625,14424.75,14151.400390625,524600.0,14406.150390625
2021-04-23,14326.349609375,14461.150390625,14273.2998046875,498100.0,14341.349609375
2021-04-26,14449.4501953125,14557.5,14421.2998046875,452700.0,14485.0
2021-04-27,14493.7998046875,14667.5498046875,14484.849609375,451800.0,14653.0498046875
2021-04-28,14710.5,14890.25,14694.9501953125,457000.0,14864.5498046875
2021-04-29,14979.0,15044.349609375,14814.4501953125,517500.0,14894.900390625
2021-04-30,14747.349609375,14855.4501953125,14601.7001953125,613900.0,14631.099609375
2021-05-03,14481.0498046875,14673.849609375,14416.25,448900.0,14634.150390625
2021-05-04,14687.25,14723.400390625,14461.5,503400.0,14496.5
2021-05-05,14604.150390625,14637.900390625,14506.599609375,455900.0,14617.849609375
2021-05-06,14668.349609375,14743.900390625,14611.5,467800.0,14724.7998046875
2021-05-07,14816.849609375,14863.0498046875,14765.5,488000.0,14823.150390625
2021-05-10,14928.25,14966.900390625,14892.5,522000.0,14942.349609375
2021-05-11,14789.7001953125,14900.0,14771.400390625,647400.0,14850.75
2021-05-12,14823.5498046875,14824.0498046875,14649.7001953125,643800.0,14696.5
2021-05-14,14749.400390625,14749.650390625,14591.900390625,620700.0,14677.7998046875
2021-05-17,14756.25,14938.0,14725.349609375,546400.0,14923.150390625
2021-05-18,15067.2001953125,15137.25,15043.7001953125,583900.0,15108.099609375
2021-05-19,15058.599609375,15133.400390625,15008.849609375,569100.0,15030.150390625
2021-05-20,15042.599609375,15069.7998046875,14884.900390625,480300.0,14906.0498046875
2021-05-21,14987.7998046875,15190.0,14985.849609375,572900.0,15175.2998046875
2021-05-24,15211.349609375,15256.25,15145.4501953125,579800.0,15197.7001953125
2021-05-25,15291.75,15293.849609375,15163.400390625,441500.0,15208.4501953125
2021-05-26,15257.0498046875,15319.900390625,15194.9501953125,384000.0,15301.4501953125
2021-05-27,15323.9501953125,15384.5498046875,15272.5,0.0,15337.849609375
2021-05-28,15421.2001953125,15469.650390625,15394.75,468100.0,15435.650390625
2021-05-31,15437.75,15606.349609375,15374.0,436000.0,15582.7998046875
2021-06-01,15629.650390625,15660.75,15528.2998046875,409600.0,15574.849609375
2021-06-02,15520.349609375,15597.4501953125,15459.849609375,428600.0,15576.2001953125
2021-06-03,15655.5498046875,15705.099609375,15611.0,410200.0,15690.349609375
2021-06-04,15712.5,15733.599609375,15622.349609375,414200.0,15670.25
2021-06-07,15725.099609375,15773.4501953125,15678.099609375,394000.0,15751.650390625
2021-06-08,15773.900390625,15778.7998046875,15680.0,378200.0,15740.099609375
2021-06-09,15766.2998046875,15800.4501953125,15566.900390625,457900.0,15635.349609375
2021-06-10,15692.099609375,15751.25,15648.5,298300.0,15737.75
2021-06-11,15796.4501953125,15835.5498046875,15749.7998046875,363000.0,15799.349609375
2021-06-14,15791.400390625,15823.0498046875,15606.5,392900.0,15811.849609375
2021-06-15,15866.9501953125,15901.599609375,15842.400390625,323300.0,15869.25
2021-06-16,15847.5,15880.849609375,15742.599609375,340200.0,15767.5498046875
2021-06-17,15648.2998046875,15769.349609375,15616.75,357600.0,15691.400390625
2021-06-18,15756.5,15761.5,15450.900390625,640800.0,15683.349609375
2021-06-21,15525.849609375,15765.150390625,15505.650390625,351500.0,15746.5
2021-06-22,15840.5,15895.75,15752.099609375,322200.0,15772.75
2021-06-23,15862.7998046875,15862.9501953125,15673.9501953125,287500.0,15686.9501953125
2021-06-24,15737.2998046875,15821.400390625,15702.7001953125,316700.0,15790.4501953125
2021-06-25,15839.349609375,15870.7998046875,15772.2998046875,314600.0,15860.349609375
2021-06-28,15915.349609375,15915.650390625,15792.150390625,255100.0,15814.7001953125
2021-06-29,15807.5,15835.900390625,15724.0498046875,360300.0,15748.4501953125
