,symbol,strikePrice,expiryDate,bid_qty,bid_price,ask_qty,ask_price,ltp,K-S,calendar_days_to_maturity,mkt_price
174,NIFTY,21100,2025-04-09,900,19.5,1800,43.7,22571.65,1471.6500000000015,33,31.6
596,NIFTY,24050,2025-04-24,225,1257.1,225,1307.95,22571.65,1478.3499999999985,48,1282.525
167,NIFTY,21050,2025-04-09,225,9.1,0,0.0,22571.65,1521.6500000000015,33,4.55
168,NIFTY,21050,2025-04-24,600,47.85,900,72.85,22571.65,1521.6500000000015,48,60.349999999999994
602,NIFTY,24100,2025-04-24,75,1305.7,225,1335.8,22571.65,1528.3499999999985,48,1320.75
150,NIFTY,21000,2025-04-24,225,54.25,300,54.45,22571.65,1571.6500000000015,48,54.35
149,NIFTY,21000,2025-04-09,1800,21.5,1800,39.35,22571.65,1571.6500000000015,33,30.425
608,NIFTY,24150,2025-04-24,75,1348.45,75,1407.25,22571.65,1578.3499999999985,48,1377.85
143,NIFTY,20950,2025-04-24,600,42.05,900,60.7,22571.65,1621.6500000000015,48,51.375
142,NIFTY,20950,2025-04-09,225,6.75,0,0.0,22571.65,1621.6500000000015,33,3.375
614,NIFTY,24200,2025-04-24,75,1392.15,75,1446.6,22571.65,1628.3499999999985,48,1419.375
136,NIFTY,20900,2025-04-24,75,47.25,225,47.6,22571.65,1671.6500000000015,48,47.425
135,NIFTY,20900,2025-04-09,750,6.0,0,0.0,22571.65,1671.6500000000015,33,3.0
620,NIFTY,24250,2025-04-24,75,1436.0,225,1513.6,22571.65,1678.3499999999985,48,1474.8
129,NIFTY,20850,2025-04-24,225,42.5,225,46.6,22571.65,1721.6500000000015,48,44.55
128,NIFTY,20850,2025-04-09,750,5.5,0,0.0,22571.65,1721.6500000000015,33,2.75
626,NIFTY,24300,2025-04-24,225,1490.75,75,1535.55,22571.65,1728.3499999999985,48,1513.15
121,NIFTY,20800,2025-04-09,75,6.1,75,35.0,22571.65,1771.6500000000015,33,20.55
122,NIFTY,20800,2025-04-24,300,41.15,225,41.35,22571.65,1771.6500000000015,48,41.25
632,NIFTY,24350,2025-04-24,75,1524.95,225,1593.95,22571.65,1778.3499999999985,48,1559.45
115,NIFTY,20750,2025-04-24,600,33.55,1050,41.35,22571.65,1821.6500000000015,48,37.45
637,NIFTY,24400,2025-04-24,75,1571.55,75,1640.55,22571.65,1828.3499999999985,48,1606.05
109,NIFTY,20700,2025-04-24,225,37.9,300,38.45,22571.65,1871.6500000000015,48,38.175
